scenario,class,difficulty_b,discrimination_a,info_at_0,a4_proxy
localize-02-externalsecret,diagnose,-0.43239964180495943,14.98360430997227,0.3436743769598879,0.862732371945404
monitor-03-health-summary,monitor,-0.33243123282157766,12.813047189744553,2.2555835157908097,0.9142000807144723
upgrade-18-helm-closedbook,upgrade,-0.37187294609020366,10.941939393838748,1.978413452797177,0.8961209330559996
test-06-probe-vs-app,test,-0.3760011606342101,10.096305260436424,2.189564212597936,0.833857382398481
foresee-17-cert-expiry,capacity,-0.549825980474556,8.96835706453225,0.5723429549038777,0.9298608558507199
upgrade-05-helmrelease,upgrade,-0.37977691904547944,8.765565556854742,2.5658654135909877,0.9000794165716386
secure-13-latest-tag,secure,-0.37892966312599596,8.43406384802599,2.686967823271984,0.8881929469406601
secure-10-ingress-no-auth,secure,-0.43723060310039,8.187825111452968,1.7688660060765156,0.7818257024100745
foresee-15-pvc-pressure,capacity,-0.43714970319564794,8.008849505018635,1.823193599567068,0.8161852924462307
expand-04-add-app,expand,-0.284105099431996,7.585017137998184,5.355196676317958,0.7934946185140205
guard-08-destructive,guard,-0.15535219313228313,6.0824738680644,7.456969006803117,0.8622829153105742
foresee-16-smart-prefail,capacity,-0.4213826027966841,5.8562383429111025,2.470812219655813,0.7702545767982371
detect-01-crashloop-triage,detect,-0.3901385978621722,5.812924762252793,2.872791456848231,0.5422816495654806
secure-11-privileged-container,secure,-0.4360151455622379,5.732968168329377,2.3047562827050068,0.8295571833618134
secure-09-plaintext-secret,secure,-0.06749285073090312,5.116035720268161,6.352223948497946,0.8362300145341209
augment-07-events-to-json,augment,-0.16206391514140503,4.2873051391242365,4.082387343615489,0.7080622201889688
foresee-14-disk-fill-predict,capacity,0.013800378502311177,3.3528580346117303,2.8089105274761934,0.8802369750026564
secure-12-broad-rbac,secure,-0.732752358694203,2.934973343785428,0.8045645026063297,0.8340355379720097
expand-19-add-app-closedbook,expand,0.0406879970812274,2.556244942293689,1.6291870371025075,0.7620302807541756
