scenario,class,difficulty_b,discrimination_a,info_at_0,a4_proxy
localize-02-externalsecret,diagnose,-0.12552233041050584,179.9824893835227,4.999854825378173e-06,0.7835564787689715
monitor-03-health-summary,monitor,-0.11927952971342691,156.73180018367844,0.00018673439099876324,0.9059471578046929
foresee-17-cert-expiry,capacity,-0.13640627299804273,129.3622859379947,0.0003631866879549343,0.9105586506870555
secure-10-ingress-no-auth,secure,-0.1247679977608756,116.09086927878754,0.006903823694637401,0.8558917424417254
upgrade-05-helmrelease,upgrade,-0.11851299224547103,115.52402100493066,0.015113865588550636,0.8741180995909696
expand-04-add-app,expand,-0.12181151903977756,94.60871295026338,0.08848239616006792,0.8075040595609253
new-linux-oom-or-node-pressure,capacity,-0.11029348704615617,92.61532471810033,0.3141040068349605,0.9162430927377226
new-flux-drift-source-not-ready,diagnose,-0.10328033541856527,92.12749232994554,0.6257783920764632,0.9123628929975138
new-backup-restore-drill,test,-0.1219169586687628,85.65097825893358,0.2139947436656531,0.8731707729351326
new-homeassistant-recorder-or-mqtt,diagnose,-0.11958760118236271,83.79176647773767,0.31227351954580296,0.9009122647657185
detect-01-crashloop-triage,detect,-0.1246443540655034,77.89721303408199,0.3683252642951591,0.5723244645849541
test-06-probe-vs-app,test,-0.13682437823547605,77.41658691820022,0.15045000237694248,0.8722088755298724
guard-08-destructive,guard,-0.10459789723254141,54.76143569578885,9.694360964115239,0.8889017020792475
secure-09-plaintext-secret,secure,-0.09809326747342766,51.82237954569118,16.44232246315288,0.8629688921793816
secure-12-broad-rbac,secure,-0.13630553471941045,47.47758631866302,3.4762917196550407,0.7087907191285676
foresee-14-disk-fill-predict,capacity,-0.09097289546362547,43.50921822076857,34.811569848118644,0.8702300661625715
toolcall-20-structured-restart,test,-0.11139114111651847,41.357651979648246,16.739512752471928,0.7004364595752517
new-external-tool-session-or-credential-degraded,diagnose,-0.11874366673228129,33.266862623700945,20.506863413015683,0.8397530677365419
new-home-network-wan-dns,diagnose,-0.09664766568040759,32.61699224790642,41.828806398187524,0.7099483951728729
secure-14-injection-destructive,secure,3.487839442619655,0.15759098644355787,0.005762428722627892,0.1335056723841714
